SOC,C1
0.0539568345323741,9433.96226415073
0.113309352517986,14150.9433962263
0.169064748201439,18867.9245283019
0.221223021582734,20754.7169811318
0.27158273381295,20754.7169811317
0.321942446043165,20754.716981132
0.372302158273381,28301.8867924528
0.431654676258993,33962.2641509431
0.491007194244604,27358.4905660377
0.546762589928057,24528.3018867925
0.598920863309352,21698.113207547
0.640287769784173,23584.9056603771
0.685251798561151,25471.6981132071
0.721223021582734,22641.5094339621
0.755395683453237,16981.1320754716
0.784172661870504,15094.3396226413
0.818345323741007,13207.5471698112
0.875899280575539,21698.113207547
0.900179856115108,30188.679245283
0.942446043165467,22641.5094339622
0.982014388489208,20754.716981132
