SOC,C2
0.0253828277698262,23341.574674145
0.0699586007356449,34288.6847546756
0.114534373701464,39440.265969043
0.156824209592112,48455.5330941859
0.201399982557931,47167.637790594
0.242546849910994,59402.6431747165
0.287122622876813,55538.9572639409
0.331126911573839,56826.8525675328
0.373416747464487,56826.8525675328
0.417421036161513,45235.7948352062
0.46142532485854,45879.7424870022
0.503715160749188,48455.5330941859
0.548290933715007,45235.7948352062
0.592295222412033,41372.1089244307
0.636299511109059,42660.0042280225
0.6791608312685,45879.7424870022
0.723165119965526,44591.8471834103
0.764883471587382,37508.4230136552
