SOC,RO
0.0497349189283295,0.0171901331650304
0.099993826560746,0.0154155786147032
0.150030716309081,0.0144402509229202
0.199667348463579,0.0137493938079073
0.249364957360887,0.013234637526133
0.299161067150429,0.0130043518211287
0.348992355830055,0.0128756627506851
0.396339233116683,0.0127740661161244
0.450172315981568,0.0126792425905344
0.499542370324545,0.0126589232636222
0.549406492634915,0.0126250577187687
0.600811450330936,0.0127198812443587
0.650738894643456,0.0128688896417144
0.700134746839161,0.0129230745134801
0.751069089161178,0.0130991753467187
0.800987152436342,0.0132210913081916
0.852450741615835,0.0134852425580494
0.902017797743279,0.0140338643846773
0.953149141849763,0.014778906371456
1.00117770785089,0.015205612236611
